Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP1347,25,3,6,4,35,Remote,54,5,1,0,Burnout,0,No Change,5,1,2,1,0,0
EMP1348,57,2,4,3,8,Onsite,22,15,5,2,Burnout,1,No Change,5,1,3,1,2,0
EMP1349,53,0,3,0,12,Hybrid,43,11,4,1,Anxiety,1,Increase,4,1,5,0,1,4
EMP1350,56,1,2,6,27,Hybrid,35,14,5,0,Burnout,1,Increase,4,0,1,1,0,5
EMP1351,26,3,6,5,2,Onsite,26,0,1,1,Anxiety,0,No Change,2,1,3,1,0,4
EMP1352,58,1,2,0,25,Onsite,32,13,4,1,Depression,0,No Change,2,2,4,1,0,1
EMP1353,57,2,4,4,32,Remote,53,9,3,2,Burnout,0,Decrease,3,2,2,0,0,2
EMP1354,44,3,0,3,23,Remote,32,15,3,0,Burnout,1,Increase,3,2,5,1,0,2
EMP1355,32,1,0,1,23,Hybrid,35,1,5,0,Burnout,1,Increase,4,2,5,0,0,0
EMP1356,42,2,6,5,20,Hybrid,44,6,5,0,Burnout,0,No Change,3,0,3,0,2,2
EMP1357,43,2,6,0,25,Onsite,24,5,3,0,Anxiety,1,Decrease,5,2,4,1,0,2
EMP1358,58,1,5,5,33,Remote,47,14,5,0,Burnout,0,Increase,4,0,1,1,2,2
EMP1359,27,0,4,6,18,Hybrid,32,1,5,1,Burnout,1,Decrease,3,2,1,1,0,0
EMP1360,25,0,2,2,13,Remote,32,0,2,2,Burnout,0,Decrease,4,0,4,0,1,4
EMP1361,30,3,2,5,14,Remote,39,4,1,1,Burnout,0,Increase,2,0,3,0,1,3
EMP1362,44,0,0,3,7,Remote,49,11,2,2,Anxiety,1,Increase,2,1,3,0,1,2
EMP1363,28,2,2,1,21,Remote,59,7,4,0,Anxiety,0,No Change,3,0,1,1,2,5
EMP1364,36,1,2,4,6,Hybrid,23,13,5,2,Burnout,0,Decrease,5,2,1,1,0,5
EMP1365,35,3,2,6,20,Remote,34,0,1,2,Burnout,1,Increase,2,2,2,1,2,3
EMP1366,29,3,3,4,12,Hybrid,49,4,4,0,Depression,0,Decrease,4,2,1,1,1,4
EMP1367,56,1,6,2,6,Remote,39,11,4,2,Burnout,0,Increase,5,2,3,0,0,1
EMP1368,45,1,0,3,17,Remote,26,13,3,0,Burnout,0,No Change,3,2,5,1,0,4
EMP1369,47,1,3,0,7,Hybrid,50,7,1,2,Burnout,0,Decrease,5,1,1,0,1,5
EMP1370,41,0,5,2,30,Hybrid,46,4,2,2,Burnout,0,Increase,4,1,1,0,2,1
EMP1371,47,3,0,0,1,Onsite,46,6,5,2,Anxiety,0,Increase,1,1,4,0,2,1
EMP1372,32,1,0,4,20,Hybrid,22,7,2,1,Burnout,1,No Change,3,0,2,1,2,4
EMP1373,56,2,4,4,33,Hybrid,56,13,5,1,Burnout,1,No Change,1,2,5,1,2,1
EMP1374,60,3,1,1,29,Remote,35,8,5,0,Burnout,1,Decrease,2,1,2,0,0,5
EMP1375,42,2,6,5,25,Onsite,54,15,3,1,Burnout,1,No Change,3,1,4,0,1,5
EMP1376,36,2,0,6,6,Hybrid,51,5,5,2,Burnout,0,Increase,4,0,3,0,2,5
EMP1377,40,2,5,2,9,Remote,45,4,4,2,Burnout,1,Increase,1,0,5,1,1,5
EMP1378,32,1,5,1,13,Remote,42,4,2,0,Anxiety,0,Increase,5,2,5,0,2,0
EMP1379,32,0,4,6,20,Hybrid,55,9,3,1,Depression,1,No Change,3,1,4,0,1,0
EMP1380,49,2,5,6,32,Onsite,21,5,1,0,Burnout,0,Increase,4,1,3,0,1,0
EMP1381,42,2,1,3,19,Onsite,41,15,5,1,Burnout,0,Increase,1,1,4,0,0,1
EMP1382,39,3,3,3,10,Onsite,49,13,5,0,Depression,1,Decrease,3,2,2,0,0,0
EMP1383,29,2,1,2,14,Remote,47,7,2,0,Burnout,0,Increase,5,0,2,1,0,3
EMP1384,52,2,2,3,19,Onsite,29,8,2,0,Burnout,0,Increase,2,1,3,1,0,4
EMP1385,25,3,2,5,6,Remote,20,5,3,1,Depression,1,Decrease,5,0,4,1,1,2
EMP1386,58,1,5,0,20,Remote,20,5,5,2,Burnout,1,Decrease,2,0,3,0,1,0
EMP1387,59,3,2,4,23,Remote,25,15,3,2,Anxiety,0,Increase,4,2,1,1,0,3
EMP1388,60,1,0,1,28,Onsite,23,10,5,0,Depression,1,Decrease,4,0,4,1,2,0
EMP1389,24,1,2,4,9,Hybrid,43,9,5,1,Anxiety,0,Increase,1,1,2,1,0,0
EMP1390,49,3,1,6,21,Remote,39,0,1,0,Anxiety,0,Increase,1,0,4,1,1,0
EMP1391,25,0,5,3,2,Onsite,45,11,3,1,Burnout,0,Increase,1,2,4,0,1,3
EMP1392,56,0,5,1,1,Remote,20,15,1,2,Burnout,0,Decrease,5,0,2,0,2,1
EMP1393,34,3,4,1,11,Onsite,58,10,3,0,Burnout,1,Increase,5,2,3,1,0,3
EMP1394,43,3,2,2,26,Onsite,45,0,5,0,Burnout,0,Decrease,1,0,2,1,2,4
EMP1395,56,2,3,5,30,Onsite,32,5,4,1,Burnout,1,Decrease,1,0,1,0,0,3
EMP1396,46,1,0,2,7,Hybrid,45,15,4,0,Burnout,0,No Change,4,2,2,1,0,3
EMP1397,35,2,6,1,23,Hybrid,35,11,1,2,Depression,0,Increase,3,2,5,1,2,5
EMP1398,56,1,5,4,17,Remote,22,15,5,0,Depression,0,Increase,2,2,5,0,0,0
EMP1399,27,1,0,4,11,Hybrid,21,12,2,1,Anxiety,0,Decrease,4,2,2,1,0,3
EMP1400,58,3,2,4,24,Onsite,23,1,1,1,Burnout,1,Decrease,4,0,3,1,1,4
EMP1401,26,0,1,3,10,Remote,39,0,5,2,Burnout,0,No Change,3,2,1,1,1,5
EMP1402,31,2,3,0,11,Onsite,43,3,3,1,Burnout,1,Decrease,1,2,5,1,1,5
EMP1403,53,0,6,0,32,Hybrid,32,13,4,0,Depression,1,Decrease,5,0,5,1,1,2
EMP1404,41,3,0,2,4,Onsite,27,8,1,0,Burnout,1,No Change,1,0,5,0,1,4
EMP1405,24,3,3,3,13,Hybrid,45,3,4,1,Depression,0,Decrease,3,1,5,1,2,3
EMP1406,46,3,1,3,19,Hybrid,26,12,3,1,Depression,0,Decrease,4,1,3,0,2,2
EMP1407,45,0,5,2,29,Remote,28,1,3,0,Burnout,0,Decrease,2,0,1,0,2,5
EMP1408,23,2,2,2,1,Hybrid,43,13,5,0,Burnout,0,No Change,5,1,1,0,2,5
EMP1409,55,2,3,5,8,Remote,28,12,2,0,Burnout,1,Increase,5,2,1,1,1,1
EMP1410,38,1,2,4,10,Hybrid,37,0,3,0,Anxiety,1,No Change,4,0,3,0,2,3
EMP1411,34,2,1,4,29,Remote,21,13,3,0,Anxiety,0,Decrease,4,1,4,1,0,0
EMP1412,24,0,5,1,29,Remote,38,1,5,1,Burnout,0,Decrease,4,2,1,1,2,5
EMP1413,46,2,6,2,16,Onsite,28,5,3,0,Burnout,1,No Change,1,1,4,0,1,4
EMP1414,36,3,0,3,33,Remote,33,0,2,2,Anxiety,0,Increase,3,2,3,1,0,2
EMP1415,30,1,3,4,31,Onsite,25,4,4,0,Depression,1,No Change,1,1,3,1,1,3
EMP1416,34,1,3,5,23,Onsite,44,9,1,1,Depression,0,Increase,5,0,2,1,1,4
EMP1417,40,0,3,1,6,Remote,49,15,5,1,Depression,1,No Change,4,1,3,1,0,5
EMP1418,37,1,6,0,1,Remote,60,0,5,0,Burnout,0,No Change,5,1,4,1,0,5
EMP1419,37,2,6,4,1,Onsite,28,3,2,1,Depression,1,Increase,3,1,4,1,2,0
EMP1420,33,2,0,4,19,Remote,41,5,3,2,Burnout,1,No Change,4,0,2,1,0,1
EMP1421,53,3,6,4,7,Onsite,51,13,1,1,Anxiety,0,No Change,1,1,1,1,1,4
EMP1422,23,0,0,5,5,Remote,52,9,5,1,Burnout,0,No Change,2,2,5,1,1,0
EMP1423,22,0,3,3,24,Remote,31,10,4,0,Depression,0,Increase,1,2,1,1,0,5
EMP1424,45,2,4,5,6,Remote,51,3,4,1,Burnout,1,Decrease,1,0,4,1,1,1
EMP1425,25,0,2,2,23,Onsite,36,9,4,1,Anxiety,1,Increase,5,0,3,1,0,3
EMP1426,44,1,4,2,14,Onsite,59,10,3,0,Burnout,1,Increase,4,0,1,1,1,1
EMP1427,36,0,5,0,31,Remote,43,7,3,0,Anxiety,0,Increase,4,0,3,1,2,4
EMP1428,37,0,1,0,1,Hybrid,54,13,3,1,Burnout,1,Increase,2,0,1,1,1,0
EMP1429,45,1,4,3,30,Hybrid,43,7,2,2,Depression,1,Decrease,2,2,4,1,1,3
EMP1430,48,0,6,6,7,Remote,22,2,5,0,Anxiety,0,No Change,5,1,4,1,2,3
EMP1431,42,2,3,2,7,Remote,34,8,4,1,Depression,0,Decrease,5,1,5,0,2,4
EMP1432,24,2,5,5,33,Remote,23,5,3,0,Anxiety,0,No Change,3,1,4,1,1,5
EMP1433,58,2,4,3,29,Remote,27,3,4,0,Depression,0,No Change,2,2,1,0,0,5
EMP1434,50,0,4,2,35,Remote,45,1,1,2,Burnout,1,Decrease,1,0,3,1,1,2
EMP1435,46,3,3,6,12,Remote,42,7,2,1,Anxiety,1,Increase,2,0,4,1,2,3
EMP1436,56,2,3,6,25,Onsite,40,7,4,0,Burnout,0,Increase,4,1,5,0,0,5
EMP1437,27,1,4,1,20,Onsite,46,6,4,2,Burnout,0,Increase,5,0,3,1,2,4
EMP1438,38,0,3,6,1,Hybrid,37,6,2,1,Depression,1,No Change,2,2,2,1,1,5
EMP1439,56,2,3,0,2,Onsite,36,9,4,2,Burnout,0,No Change,3,2,2,1,1,0
EMP1440,57,0,1,4,31,Hybrid,35,6,2,1,Burnout,0,Increase,5,2,3,0,1,2
EMP1441,22,3,0,6,34,Hybrid,24,4,3,2,Anxiety,0,Decrease,1,1,1,1,0,1
EMP1442,45,3,2,5,16,Remote,22,1,3,2,Anxiety,1,Increase,2,1,4,0,2,4
EMP1443,33,1,2,5,24,Hybrid,37,8,1,1,Burnout,1,Decrease,1,1,5,0,0,3
EMP1444,37,2,6,5,27,Hybrid,28,13,1,1,Burnout,0,No Change,2,0,1,1,1,2
EMP1445,29,2,0,4,23,Remote,56,7,3,0,Anxiety,1,Decrease,4,0,5,1,2,3
EMP1446,51,0,1,6,34,Hybrid,36,9,3,0,Burnout,0,Increase,4,1,1,0,0,0
EMP1447,43,3,0,2,32,Hybrid,35,1,2,2,Anxiety,1,No Change,4,1,1,1,0,1
EMP1448,49,2,1,4,14,Hybrid,41,10,1,1,Depression,0,Increase,3,2,5,1,2,1
EMP1449,28,0,5,3,23,Remote,40,13,1,1,Depression,1,Decrease,4,2,4,1,0,5
EMP1450,28,0,3,4,14,Hybrid,37,10,1,2,Burnout,1,No Change,2,1,5,0,1,2
EMP1451,23,3,1,2,1,Onsite,27,12,3,2,Anxiety,0,No Change,3,0,1,0,2,0
EMP1452,32,1,4,4,22,Hybrid,51,11,3,1,Anxiety,1,No Change,5,0,2,1,2,5
EMP1453,58,1,5,6,27,Remote,35,4,1,0,Anxiety,0,Increase,5,1,5,1,0,5
EMP1454,57,1,3,0,20,Onsite,46,7,5,2,Burnout,0,Increase,3,2,1,1,2,4
EMP1455,27,0,1,0,17,Onsite,50,7,2,1,Anxiety,0,No Change,5,2,5,1,1,0
EMP1456,40,2,0,6,21,Remote,26,2,1,1,Burnout,1,Decrease,1,0,3,1,1,4
EMP1457,55,1,4,2,11,Hybrid,38,14,5,2,Anxiety,0,Decrease,4,2,4,1,2,4
EMP1458,54,1,4,3,26,Onsite,57,2,4,1,Burnout,0,Increase,2,1,5,1,2,5
EMP1459,54,2,4,6,14,Remote,26,15,4,2,Depression,0,Increase,2,0,2,0,1,3
EMP1460,26,2,4,2,24,Remote,41,11,1,1,Anxiety,1,Increase,2,1,4,1,0,5
EMP1461,48,1,4,6,23,Remote,41,5,4,0,Anxiety,1,Increase,5,1,1,1,2,1
EMP1462,32,1,6,4,6,Hybrid,25,9,4,2,Burnout,0,No Change,4,1,2,1,1,4
EMP1463,52,1,4,0,35,Remote,56,10,4,2,Depression,0,No Change,1,2,3,1,2,2
EMP1464,57,3,6,1,7,Remote,43,8,2,2,Burnout,0,No Change,2,2,3,1,2,3
EMP1465,36,0,2,1,32,Remote,39,5,3,0,Anxiety,1,No Change,3,1,5,1,2,2
EMP1466,54,3,1,3,19,Remote,39,12,1,2,Burnout,1,Decrease,1,2,1,1,2,3
EMP1467,40,3,0,4,6,Onsite,53,4,2,0,Burnout,0,Increase,5,0,3,0,2,0
EMP1468,49,2,0,0,29,Remote,27,6,2,2,Depression,1,Decrease,4,0,2,1,0,1
EMP1469,24,3,6,6,31,Onsite,47,10,1,1,Burnout,0,No Change,3,0,2,0,2,0
EMP1470,54,2,3,5,8,Hybrid,29,14,4,0,Burnout,1,Increase,1,0,3,0,1,4
EMP1471,35,1,6,0,24,Remote,41,4,5,1,Burnout,0,No Change,2,1,5,1,1,2
EMP1472,55,2,4,3,11,Remote,22,7,1,1,Burnout,1,No Change,1,0,5,1,2,5
EMP1473,36,0,3,3,31,Onsite,41,13,5,2,Burnout,1,No Change,2,1,2,1,0,3
EMP1474,43,1,6,3,29,Onsite,44,14,1,2,Depression,1,Decrease,3,2,4,0,0,0
EMP1475,25,3,5,0,24,Remote,57,14,3,1,Burnout,0,Decrease,5,0,5,1,0,5
EMP1476,42,0,2,6,5,Remote,43,2,3,0,Burnout,1,Increase,1,0,3,0,0,1
EMP1477,24,0,2,0,17,Hybrid,43,11,2,1,Depression,1,Increase,2,1,1,1,2,3
EMP1478,48,0,6,6,6,Onsite,20,4,1,0,Burnout,0,Increase,4,2,3,0,2,2
EMP1479,47,1,3,6,21,Hybrid,55,11,3,1,Anxiety,1,Decrease,1,2,3,0,2,2
EMP1480,54,3,4,4,35,Hybrid,44,15,4,0,Anxiety,1,No Change,2,2,2,1,0,2
EMP1481,43,2,1,6,29,Hybrid,37,15,3,1,Burnout,1,No Change,3,0,4,1,2,1
EMP1482,29,3,3,5,9,Remote,59,5,2,0,Burnout,0,No Change,2,2,1,0,2,3
EMP1483,37,1,6,4,27,Remote,43,11,3,1,Burnout,1,Increase,5,0,2,1,0,2
EMP1484,39,1,4,5,4,Onsite,57,2,3,2,Anxiety,0,Increase,2,2,5,1,0,5
EMP1485,46,0,4,1,17,Onsite,51,3,2,1,Burnout,0,Decrease,4,2,5,0,0,1
EMP1486,44,1,0,6,35,Onsite,39,12,3,0,Depression,1,Decrease,4,2,1,1,2,4
EMP1487,36,2,2,3,14,Onsite,56,5,3,2,Depression,0,No Change,3,1,1,1,0,1
EMP1488,28,2,0,2,30,Hybrid,53,6,1,2,Burnout,1,No Change,1,1,3,0,0,3
EMP1489,23,0,3,4,1,Hybrid,33,10,1,2,Burnout,0,Decrease,3,1,1,1,2,2
EMP1490,60,3,2,6,4,Remote,47,6,5,0,Burnout,1,No Change,5,1,3,0,1,4
EMP1491,55,3,4,4,35,Hybrid,42,2,3,2,Depression,1,Decrease,2,2,5,1,0,1
EMP1492,34,1,2,1,12,Remote,32,15,5,0,Depression,1,Decrease,3,1,4,1,0,4
EMP1493,30,3,6,2,17,Onsite,58,4,5,0,Depression,0,Decrease,1,0,3,0,2,1
EMP1494,26,0,1,1,17,Onsite,46,5,1,2,Burnout,0,Increase,3,1,1,1,2,0
EMP1495,44,1,0,6,10,Onsite,29,7,3,2,Anxiety,1,Decrease,5,1,1,0,2,3
EMP1496,24,3,2,4,3,Remote,39,6,1,2,Anxiety,1,Increase,2,0,4,1,1,0
EMP1497,59,1,1,3,15,Hybrid,24,8,4,1,Burnout,1,No Change,2,1,5,1,2,1
EMP1498,60,1,2,0,32,Onsite,30,0,3,0,Burnout,0,Increase,3,1,5,1,0,5
EMP1499,32,0,2,0,14,Remote,37,8,2,0,Depression,1,Increase,1,2,3,1,0,0
EMP1500,49,3,6,0,26,Onsite,32,13,4,2,Burnout,0,No Change,2,2,5,1,1,5
EMP1501,36,0,6,4,4,Onsite,49,12,4,0,Anxiety,0,Decrease,5,0,3,1,0,2
EMP1502,40,0,6,5,27,Onsite,24,7,5,1,Anxiety,0,Decrease,5,0,2,0,2,4
EMP1503,49,2,1,2,11,Hybrid,20,9,2,1,Burnout,1,Decrease,4,1,2,0,1,2
EMP1504,26,0,6,0,22,Onsite,41,4,3,1,Anxiety,0,Increase,2,1,5,1,2,1
EMP1505,49,3,6,2,8,Hybrid,27,0,5,0,Depression,1,Increase,5,0,5,1,2,0
EMP1506,60,3,1,5,28,Onsite,43,12,2,0,Burnout,0,No Change,4,1,5,0,0,2
EMP1507,42,1,2,4,10,Onsite,34,8,3,2,Anxiety,0,No Change,5,2,1,1,0,1
EMP1508,28,0,1,0,35,Remote,20,8,5,1,Depression,1,No Change,2,1,2,0,2,4
EMP1509,45,3,6,2,19,Remote,49,11,3,1,Burnout,1,Decrease,1,2,2,1,1,5
EMP1510,27,3,6,2,17,Remote,39,1,3,1,Burnout,1,Increase,5,2,2,0,2,4
EMP1511,44,0,6,3,12,Hybrid,56,15,3,2,Burnout,1,Increase,4,2,3,0,0,5
EMP1512,28,1,3,6,23,Onsite,55,12,4,1,Burnout,0,No Change,3,1,3,1,0,2
EMP1513,43,1,3,6,19,Remote,59,15,4,0,Burnout,0,Increase,1,0,4,0,0,3
EMP1514,24,2,1,5,21,Hybrid,33,6,5,1,Burnout,1,Decrease,2,0,3,1,0,3
EMP1515,53,0,0,4,31,Onsite,42,13,3,2,Anxiety,1,Increase,3,1,2,1,1,0
EMP1516,41,3,0,4,4,Remote,22,4,1,1,Anxiety,0,No Change,5,2,2,0,1,5
EMP1517,59,1,0,4,8,Onsite,42,11,1,1,Anxiety,0,Decrease,2,1,1,1,1,0
EMP1518,45,0,0,3,20,Remote,31,14,3,1,Burnout,0,No Change,4,0,2,1,0,2
EMP1519,26,2,2,2,2,Remote,40,9,3,0,Anxiety,0,No Change,3,2,5,0,2,0
EMP1520,52,3,6,5,17,Remote,20,5,4,0,Anxiety,1,Increase,2,1,1,1,1,1
EMP1521,48,3,6,0,25,Onsite,28,1,3,0,Depression,0,Decrease,5,0,4,1,2,0
EMP1522,22,3,0,4,23,Onsite,35,13,1,2,Burnout,1,No Change,2,0,1,0,1,5
EMP1523,41,2,3,5,4,Remote,60,11,1,0,Anxiety,0,Decrease,4,0,3,0,2,2
EMP1524,50,2,4,6,9,Onsite,58,7,3,0,Depression,0,Decrease,4,2,4,1,0,5
EMP1525,29,0,0,2,16,Remote,28,0,3,0,Burnout,0,Increase,5,0,3,0,0,3
EMP1526,27,1,6,4,29,Remote,44,14,2,1,Depression,0,Decrease,4,2,1,1,2,2
EMP1527,43,3,4,0,14,Onsite,50,4,5,2,Burnout,1,No Change,4,0,4,1,0,4
EMP1528,51,2,1,2,25,Remote,60,1,4,2,Burnout,1,Decrease,5,0,3,1,2,2
EMP1529,47,0,4,2,6,Hybrid,53,5,5,0,Burnout,0,Increase,5,2,3,1,1,2
EMP1530,44,1,6,4,17,Remote,36,7,4,1,Burnout,1,Increase,5,1,2,1,0,1
EMP1531,44,3,2,6,21,Hybrid,24,0,3,0,Depression,1,Increase,4,0,3,1,0,0
EMP1532,43,0,2,6,5,Remote,25,0,3,0,Depression,1,Increase,5,2,3,0,0,5
EMP1533,22,0,1,0,20,Remote,47,8,5,2,Anxiety,0,No Change,3,0,2,1,0,0
EMP1534,40,3,3,0,11,Remote,50,10,4,1,Depression,1,No Change,4,0,1,1,1,0
EMP1535,34,2,4,4,10,Hybrid,40,11,5,0,Anxiety,1,Decrease,4,0,5,0,2,2
EMP1536,59,0,6,2,22,Onsite,39,11,1,1,Depression,0,No Change,2,0,4,1,1,4
EMP1537,26,0,4,0,2,Onsite,54,12,4,0,Depression,1,No Change,5,0,3,1,2,4
EMP1538,40,1,6,5,24,Hybrid,44,9,3,0,Burnout,1,No Change,3,0,4,1,1,3
EMP1539,47,0,0,6,2,Remote,33,3,2,0,Depression,1,Increase,4,0,5,1,1,2
EMP1540,54,0,5,3,23,Hybrid,25,8,5,0,Depression,1,Increase,5,0,3,0,2,0
EMP1541,26,1,6,4,3,Onsite,33,8,2,0,Burnout,0,Increase,2,2,4,0,2,0
EMP1542,52,2,2,1,25,Remote,31,7,3,1,Burnout,1,Decrease,4,2,4,1,2,2
EMP1543,38,1,1,1,12,Remote,36,1,3,1,Burnout,1,Decrease,5,1,1,1,0,1
EMP1544,34,2,5,0,22,Remote,35,9,2,2,Depression,0,Decrease,2,1,5,0,1,3
EMP1545,39,3,4,2,22,Remote,24,12,2,1,Anxiety,1,No Change,4,1,2,0,2,4
EMP1546,60,2,4,5,33,Hybrid,50,7,3,0,Anxiety,1,Increase,5,2,5,1,2,3
EMP1547,24,0,5,6,6,Hybrid,30,11,3,0,Depression,0,Decrease,3,1,5,0,0,4
EMP1548,49,3,3,0,30,Onsite,38,3,3,0,Burnout,0,Decrease,3,1,4,1,2,2
EMP1549,45,2,1,0,1,Onsite,40,5,1,1,Anxiety,0,Increase,3,2,5,1,2,5
EMP1550,28,1,4,6,19,Remote,40,9,3,2,Burnout,1,No Change,4,2,1,1,0,4
EMP1551,34,0,0,4,1,Remote,29,2,5,0,Depression,0,No Change,1,0,2,1,2,0
EMP1552,27,2,5,5,30,Onsite,42,11,1,0,Anxiety,1,Decrease,3,1,4,1,0,5
EMP1553,35,0,5,0,35,Hybrid,50,3,4,1,Anxiety,1,No Change,2,0,2,1,1,2
EMP1554,47,3,6,6,4,Remote,23,13,4,1,Burnout,0,No Change,2,2,3,0,0,2
EMP1555,51,3,0,6,6,Remote,31,10,3,0,Anxiety,0,Increase,3,0,1,0,2,1
EMP1556,25,3,5,4,12,Onsite,44,9,4,1,Burnout,1,No Change,4,0,5,0,2,2
EMP1557,36,0,0,6,2,Hybrid,27,6,4,1,Depression,0,Increase,1,1,2,0,0,2
EMP1558,47,0,6,1,26,Remote,59,15,3,2,Burnout,1,Increase,4,1,3,0,2,4
EMP1559,60,1,6,4,33,Onsite,36,4,3,2,Anxiety,1,No Change,4,2,1,0,1,1
EMP1560,25,0,0,2,13,Hybrid,26,8,4,2,Depression,0,No Change,5,2,4,0,2,4
EMP1561,26,0,1,6,17,Onsite,32,9,3,1,Anxiety,1,Decrease,1,1,1,1,0,2
EMP1562,55,1,3,0,6,Hybrid,23,11,4,1,Burnout,1,Decrease,3,1,3,1,2,0
EMP1563,31,2,3,5,2,Hybrid,30,9,3,1,Burnout,1,No Change,1,1,5,1,0,5
EMP1564,36,1,0,5,1,Onsite,24,0,5,2,Burnout,0,Decrease,3,2,4,0,1,0
EMP1565,23,2,2,1,33,Remote,37,6,5,1,Burnout,0,Decrease,5,1,4,1,2,4
EMP1566,56,1,0,1,8,Onsite,41,15,1,0,Burnout,0,Decrease,1,2,2,1,2,2
EMP1567,36,2,3,2,33,Remote,42,9,2,2,Burnout,1,No Change,3,2,5,0,1,3
EMP1568,33,0,4,5,16,Remote,34,9,3,2,Burnout,0,Decrease,4,0,5,0,0,2
EMP1569,50,3,5,5,32,Hybrid,54,8,2,1,Anxiety,0,Increase,3,0,5,0,1,4
EMP1570,29,3,5,1,8,Hybrid,29,8,2,2,Depression,1,Decrease,5,1,3,0,1,1
EMP1571,55,2,2,2,8,Hybrid,58,14,1,0,Anxiety,1,Decrease,3,2,2,0,2,5
EMP1572,34,2,1,0,33,Onsite,57,6,5,0,Depression,1,Decrease,1,0,1,0,0,4
EMP1573,48,2,5,2,23,Remote,39,3,3,1,Burnout,0,No Change,3,2,4,1,1,1
EMP1574,51,0,0,6,24,Hybrid,50,5,1,1,Depression,0,Increase,1,0,3,1,2,4
EMP1575,31,2,1,2,27,Onsite,42,4,4,2,Depression,1,Decrease,1,0,5,0,1,4
EMP1576,22,3,3,5,8,Hybrid,35,2,1,1,Burnout,1,No Change,2,2,4,0,0,2
EMP1577,23,1,1,2,7,Remote,54,10,5,1,Burnout,1,No Change,3,1,5,0,1,0
EMP1578,55,3,0,0,22,Hybrid,36,8,2,0,Depression,0,Decrease,3,0,3,1,2,2
EMP1579,52,3,4,4,16,Remote,26,12,4,0,Depression,1,Decrease,3,1,5,1,1,1
EMP1580,47,3,0,1,14,Onsite,55,14,4,2,Burnout,1,Decrease,2,0,4,0,1,5
EMP1581,46,1,2,2,14,Onsite,23,8,1,0,Burnout,0,No Change,5,1,3,0,0,1
EMP1582,28,2,5,0,23,Remote,43,10,2,0,Depression,0,Decrease,2,0,1,0,0,2
EMP1583,57,3,6,6,17,Hybrid,44,13,3,2,Burnout,1,Decrease,4,1,5,0,2,1
EMP1584,26,0,6,3,18,Remote,36,9,5,1,Anxiety,0,Increase,2,1,2,1,0,2
EMP1585,39,2,3,4,19,Remote,59,15,1,2,Burnout,0,Decrease,3,2,4,1,0,1
EMP1586,54,2,1,5,27,Remote,24,2,2,2,Burnout,1,Decrease,5,2,5,1,2,0
EMP1587,25,3,2,1,8,Remote,40,6,2,0,Burnout,1,No Change,2,2,5,1,2,5
EMP1588,40,3,2,5,23,Hybrid,30,0,1,0,Depression,1,No Change,3,2,3,1,2,4
EMP1589,56,2,5,6,34,Remote,51,9,1,0,Depression,1,No Change,4,0,5,1,0,1
EMP1590,32,0,2,0,15,Hybrid,37,10,5,0,Burnout,0,No Change,2,1,4,1,2,0
EMP1591,34,2,4,1,30,Remote,54,11,4,1,Anxiety,0,No Change,4,2,5,1,0,1
EMP1592,57,1,1,1,14,Onsite,27,4,1,0,Burnout,0,Decrease,5,0,4,1,0,4
EMP1593,54,3,6,0,26,Onsite,35,13,1,2,Burnout,1,No Change,5,1,3,1,1,2
EMP1594,29,2,2,4,6,Hybrid,58,15,1,2,Anxiety,0,No Change,4,0,5,1,0,3
EMP1595,45,3,0,1,24,Onsite,22,0,1,0,Depression,0,Increase,4,0,3,1,2,3
EMP1596,40,1,4,4,16,Hybrid,59,9,5,2,Anxiety,0,No Change,2,2,3,0,1,4
EMP1597,42,2,3,5,23,Hybrid,22,8,3,1,Burnout,1,Decrease,5,0,3,1,2,0
EMP1598,40,3,3,2,14,Onsite,43,12,2,0,Burnout,1,Increase,1,0,2,1,0,0
EMP1599,46,0,5,3,4,Onsite,57,0,5,0,Burnout,1,No Change,3,0,5,1,0,0
EMP1600,26,3,4,4,29,Hybrid,56,1,4,1,Anxiety,0,Decrease,4,1,5,1,1,3
EMP1601,33,0,5,2,29,Remote,45,4,5,2,Burnout,0,No Change,2,0,3,1,2,4
EMP1602,38,1,3,4,34,Remote,40,6,3,0,Burnout,0,Increase,3,1,3,1,2,3
EMP1603,57,3,2,1,27,Remote,56,11,1,1,Depression,1,Decrease,5,0,4,1,0,5
EMP1604,37,1,6,3,20,Onsite,45,7,1,2,Burnout,1,Increase,5,2,3,1,2,1
EMP1605,37,0,5,1,10,Hybrid,35,12,5,1,Burnout,0,No Change,5,1,1,1,0,4
EMP1606,24,3,3,2,18,Onsite,47,9,3,0,Burnout,0,No Change,4,0,4,1,0,1
EMP1607,39,3,2,2,32,Onsite,59,7,1,0,Burnout,1,Increase,3,1,4,1,2,1
EMP1608,23,0,4,1,13,Hybrid,27,0,2,1,Depression,1,Decrease,4,0,3,1,0,5
EMP1609,55,3,1,5,19,Remote,22,2,5,0,Burnout,0,Increase,5,0,5,1,2,2
EMP1610,53,2,0,5,20,Remote,23,13,3,2,Anxiety,0,Increase,2,0,4,1,2,0
